site,sector,country,tls_version,key_exchange,cdn,attribution
ssc.gov.in,gov,INDIA,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
maharashtra.gov.in,gov,INDIA,TLSv1.2,"ECDH, secp384r1, 384 bits",Self-hosted,No PQC
kerala.gov.in,gov,INDIA,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
goindigo.in,web,INDIA,TLSv1.2,"ECDH, prime256v1, 256 bits",Amazon (AWS),No PQC
tn.gov.in,gov,INDIA,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
zoho.in,web,INDIA,TLSv1.3,"X25519, 253 bits",Fastly,No PQC
nobroker.in,web,INDIA,TLSv1.3,"X25519, 253 bits",Google,No PQC
irctc.co.in,web,INDIA,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
bajajfinserv.in,web,INDIA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
ctrls.in,web,INDIA,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
mca.gov.in,gov,INDIA,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
mohfw.gov.in,gov,INDIA,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
runnr.in,web,INDIA,TLSv1.2,"ECDH, prime256v1, 256 bits",Amazon (AWS),No PQC
wb.gov.in,gov,INDIA,TLSv1.2,"X25519, 253 bits",Self-hosted,No PQC
livescore.in,web,INDIA,TLSv1.3,"X25519, 253 bits",Fastly,No PQC
licindia.in,web,INDIA,TLSv1.3,X25519MLKEM768,Self-hosted,PQC own effort
cgg.gov.in,gov,INDIA,TLSv1.3,"ECDH, prime256v1, 256 bits",F5,No PQC
district.in,web,INDIA,TLSv1.2,"ECDH, prime256v1, 256 bits",Amazon (AWS),No PQC
